Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),ATTIC:Zone Air Temperature [C](Hourly),CORE_ZN:Zone Air Temperature [C](Hourly),PERIMETER_ZN_1:Zone Air Temperature [C](Hourly),PERIMETER_ZN_2:Zone Air Temperature [C](Hourly),PERIMETER_ZN_3:Zone Air Temperature [C](Hourly),PERIMETER_ZN_4:Zone Air Temperature [C](Hourly),ExteriorLights:Electricity [J](Hourly),Fans:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),Electricity:Facility [J](Hourly),DistrictCooling:Facility [J](Hourly),DistrictHeatingWater:Facility [J](Hourly) 
 01/05  03:00:00,0.44166666666666665,-2.7557573640842374,17.809343057069732,17.303868460487354,16.65269002362443,16.723110681960687,16.68574095035773,8290800.0,0.0,7920077.218560001,990009.6523200001,17200886.87088,0.0,0.0 
 01/05  04:00:00,0.34166666666666673,-3.2393031925212825,17.62103676889297,17.059602227047197,16.418969650682982,16.502777130634467,16.453469263484116,8290800.0,0.0,7920077.218560001,990009.6523200001,17200886.87088,0.0,0.0 
 01/05  05:00:00,0.24166666666666667,-3.567934594216704,17.444729361123702,16.834540094153798,16.206697827961335,16.30231387685022,16.241584803661492,8290800.0,0.0,7920077.218560001,990009.6523200001,17200886.87088,0.0,0.0 
 01/05  06:00:00,0.14166666666666666,-3.811569875577401,17.301477809446016,16.646064557809108,16.03047793422884,16.137840097549866,16.065404436016564,8290800.0,0.0,7920077.218560001,1980019.3046400002,18190896.5232,0.0,0.0 
 01/05  07:00:00,0.21666666666666667,-4.019107494404668,20.992807035959334,20.990006701503763,20.987231952517845,20.98777698191667,20.987399528156825,8290800.0,0.0,7920077.218560001,1980019.3046400002,18190896.5232,0.0,62253128.76541069 
 01/05  08:00:00,0.4166666666666667,-4.2018275389761035,21.0,21.0,20.999999999999996,21.0,21.0,5527200.0,0.0,7920077.218560001,5940057.91392,19387335.13248,0.0,41740892.31840273 
 01/05  09:00:00,0.6166666666666667,-4.049662045277651,21.0,21.0,21.0,21.0,21.0,0.0,0.0,17820173.74176,17820173.74176,35640347.48352,0.0,40168330.4822374 
 01/05  10:00:00,1.2833333333333334,-2.612618248529721,21.0,21.0,21.0,21.0,21.0,0.0,0.0,17820173.74176,17820173.74176,35640347.48352,0.0,33184632.631627627 
 01/05  11:00:00,2.225,0.44392375150213154,21.000000000000004,21.000000000000004,21.000000000000004,21.000000000000004,21.000000000000004,0.0,0.0,17820173.74176,17820173.74176,35640347.48352,0.0,27660015.42083537 
 01/05  12:00:00,3.1833333333333336,4.739268264670934,21.000000000000004,21.000000000000004,21.000000000000004,21.000000000000004,21.000000000000004,0.0,0.0,17820173.74176,17820173.74176,35640347.48352,0.0,22395085.521834195 
 01/05  13:00:00,4.183333333333334,10.395399373925054,21.000000000000004,21.049687435587405,21.000000000000004,21.000000000000004,21.000000000000004,0.0,0.0,15840154.437120002,17820173.74176,33660328.17888,0.0,11064171.43599915 
 01/05  14:00:00,5.241666666666666,14.950543245796256,21.0,21.31867640085324,21.0,21.0,21.0,0.0,0.0,17820173.74176,17820173.74176,35640347.48352,0.0,12280603.365230514 
 01/05  15:00:00,6.283333333333334,15.932034936070353,21.0,21.677223400333784,21.0,21.0,21.0,0.0,0.0,17820173.74176,17820173.74176,35640347.48352,0.0,9218937.551694334 
 01/05  16:00:00,6.116666666666667,14.04270973281798,21.000000000000004,21.47517875514791,21.000000000000004,21.000000000000004,21.000000000000004,0.0,0.0,17820173.74176,17820173.74176,35640347.48352,0.0,8668866.964185592 
 01/05  17:00:00,5.058333333333334,10.303852556847831,21.000000000000004,21.013902387150818,21.000000000000004,21.000000000000004,21.000000000000004,0.0,0.0,17820173.74176,17820173.74176,35640347.48352,0.0,11681359.863696888 
 01/05  18:00:00,4.016666666666667,6.3712062121896595,21.0,21.0,21.0,21.0,21.0,5527200.0,0.0,9900096.523200002,9900096.523200002,25327393.046400003,0.0,13163590.503279643 
